"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23","Age 24","Age 25","Age 26","Age 27","Age 28","Age 29","Age 30","Age 31","Age 32","Age 33","Age 34","Age 35","Age 36","Age 37","Age 38","Age 39","Age 40","Age 41","Age 42","Age 43","Age 44","Age 45","Age 46","Age 47","Age 48","Age 49","Age 50","Age 51","Age 52","Age 53","Age 54","Age 55","Age 56","Age 57","Age 58","Age 59","Age 60"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
"CV",0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286,0.0606320193710286
"SD",0.0606320193710286,0.0606320193710286,0.121264038742057,0.181896058113086,0.242528077484114,0.303160096855143,0.363792116226172,0.4244241355972,0.485056154968229,0.545688174339258,0.606320193710286,0.666952213081315,0.727584232452343,0.788216251823372,0.848848271194401,0.909480290565429,0.970112309936458,1.03074432930749,1.09137634867852,1.15200836804954,1.21264038742057,1.2732724067916,1.33390442616263,1.39453644553366,1.45516846490469,1.51580048427572,1.57643250364674,1.63706452301777,1.6976965423888,1.75832856175983,1.81896058113086,1.87959260050189,1.94022461987292,2.00085663924394,2.06148865861497,2.122120677986,2.18275269735703,2.24338471672806,2.30401673609909,2.36464875547012,2.42528077484114,2.48591279421217,2.5465448135832,2.60717683295423,2.66780885232526,2.72844087169629,2.78907289106732,2.84970491043834,2.91033692980937,2.9709689491804,3.03160096855143,3.09223298792246,3.15286500729349,3.21349702666452,3.27412904603554,3.33476106540657,3.3953930847776,3.45602510414863,3.51665712351966,3.57728914289069,3.63792116226172
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5
