"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_uniform_Fem_GP_1",0.1,1074.84,0.00159613,17.7547,5.07785,0.286,1
"5","NatM_uniform_Fem_GP_1",0.11,1068.41,1.31736e-05,16.8811,6.29317,0.372795,1
"4","NatM_uniform_Fem_GP_1",0.12,1063.77,1.2538e-05,16.2317,7.41612,0.456891,1
"3","NatM_uniform_Fem_GP_1",0.13,1060.58,7.25649e-05,15.7416,8.40451,0.533904,1
"2","NatM_uniform_Fem_GP_1",0.14,1058.64,2.44015e-05,15.3849,9.26236,0.602041,1
"1","NatM_uniform_Fem_GP_1",0.15,1057.79,1.9221e-05,15.1524,10.0151,0.66096,1
"7","NatM_uniform_Fem_GP_1",0.16,1057.91,9.94588e-06,15.0423,10.6961,0.711066,1
"8","NatM_uniform_Fem_GP_1",0.17,1058.88,3.027e-06,15.0569,11.3384,0.753042,1
"9","NatM_uniform_Fem_GP_1",0.18,1060.59,4.16179e-06,15.2009,11.972,0.787586,1
"10","NatM_uniform_Fem_GP_1",0.19,1063,1.32899e-06,15.4967,12.6223,0.814514,2
"11","NatM_uniform_Fem_GP_1",0.2,1066.18,3.46799e-06,15.9802,13.3172,0.833354,2
