"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",32,258,77,77
2003,"sexed",32,258,77,77
2003,"unsexed",0,0,0,0
2004,"all",21,141,51,51
2004,"sexed",21,141,51,51
2004,"unsexed",0,0,0,0
2005,"all",41,315,99,99
2005,"sexed",41,315,99,99
2005,"unsexed",0,0,0,0
2006,"all",30,149,72,72
2006,"sexed",30,149,72,72
2006,"unsexed",0,0,0,0
2007,"all",45,277,109,109
2007,"sexed",43,265,104,104
2007,"unsexed",2,12,4,4
2008,"all",31,300,75,75
2008,"sexed",31,300,75,75
2008,"unsexed",0,0,0,0
2009,"all",35,261,85,85
2009,"sexed",35,261,85,85
2009,"unsexed",0,0,0,0
2010,"all",39,462,94,94
2010,"sexed",39,462,94,94
2010,"unsexed",0,0,0,0
2011,"all",46,467,111,111
2011,"sexed",46,467,111,111
2011,"unsexed",0,0,0,0
2012,"all",40,334,97,97
2012,"sexed",40,333,97,97
2012,"unsexed",1,1,2,1
2013,"all",20,149,48,48
2013,"sexed",20,149,48,48
2013,"unsexed",0,0,0,0
2014,"all",50,574,121,121
2014,"sexed",49,573,119,119
2014,"unsexed",1,1,2,1
2015,"all",57,539,138,138
2015,"sexed",57,539,138,138
2015,"unsexed",0,0,0,0
2016,"all",62,568,150,150
2016,"sexed",62,568,150,150
2016,"unsexed",0,0,0,0
2017,"all",68,732,165,165
2017,"sexed",68,732,165,165
2017,"unsexed",0,0,0,0
2018,"all",59,588,143,143
2018,"sexed",59,588,143,143
2018,"unsexed",0,0,0,0
2019,"all",27,274,65,65
2019,"sexed",27,274,65,65
2019,"unsexed",0,0,0,0
2021,"all",32,309,77,77
2021,"sexed",32,309,77,77
2021,"unsexed",0,0,0,0
2022,"all",35,261,85,85
2022,"sexed",35,261,85,85
2022,"unsexed",0,0,0,0
2023,"all",59,398,143,143
2023,"sexed",59,398,143,143
2023,"unsexed",0,0,0,0
2024,"all",45,425,109,109
2024,"sexed",45,425,109,109
2024,"unsexed",0,0,0,0
