"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2003,7,999,3,0,77,0,0,0,0,0,0.047847851646643,0.320468995619776,1.66339297809155,1.88308026747522,0.790956797529645,1.56850590809721,3.72867499265846,7.2560164596488,13.2985285781676,13.5891764940246,6.05571569652785,2.65478088333623,0.123517054810203,0,0,0.0722517809057092,0,0,0,0,0.142602998580729,0.404623314687942,1.14396500614529,1.56160133898551,5.06928228036143,15.0618721559391,12.2882627226129,7.92441607576707,2.06416616902979,0.0953736872827974,1.19091951206796,0,0
2004,7,999,3,0,51,0,0,0,0.109859912774412,0,0,0,0.500225800188668,0.833709666981114,0.760171827813528,2.42118594611981,4.57706546743091,5.93698692338121,12.4391241827848,11.978245672636,7.11350392839847,1.73358087280668,0.0997335442645319,0.44548640737435,0,0,0.109859912774412,0.109859912774412,0,0,0,0.333483866792445,1.10018514464187,2.41983263075409,8.65222440593941,16.7223533408535,13.6321880289177,6.69042615203246,1.03819124649811,0.242515205067122,0,0,0
2005,7,999,3,0,99,0,0,0,0,0,0.041077931387796,0.113449050463328,0.270253914563681,0.887564517757363,1.28822062607582,3.08214115204452,6.1698510650323,5.08848922274828,6.7605280563088,9.73009519384105,5.82684652969445,2.89176093607973,1.31898606358329,0.062065357891473,0,0,0,0,0,0,0.113449050463328,0.383224869339257,0.776254570419551,4.33251802824642,7.19727100756664,15.4010408626827,17.8004520556022,8.38842212163124,1.77088091794365,0.305156898633098,0,0,0
2006,7,999,3,0,72,0,0,0,0,0,0,0.134439801293747,0.355817816299495,0.338802630958433,1.73859806992267,2.10880318135544,2.22466256458322,6.62093253553976,12.5814189362003,12.9684212522795,15.790585897996,8.75439154132497,4.40729252061634,0,0,0,0,0,0,0,0,0,0.24783441880413,0.953470190899587,1.61795697253614,7.65012778884461,14.3754527161514,6.18877193803446,0.942219226359755,0,0,0,0
2007,7,999,3,0,104,0,0,0,0.0566895713568511,0.186736555849149,0.0566895713568511,1.04757976205373,1.68719045581668,2.25845401368469,2.30194270327746,1.36887297365168,2.59249175156683,4.87115326182542,6.36106045734405,7.01109546998361,8.39693324032342,2.95318769301102,0.901872124655758,0.0337931477053608,0,0,0,0,0.0370295662162232,0,0.243426127206,1.82593117050634,3.2396255298156,4.27657386183994,5.58323622220422,11.5943235959913,15.992867796419,9.16310924271858,2.76905795513752,2.717373374992,0.441763942263411,0.0299388612272691,0
2008,7,999,3,0,75,1.71807247916384,0.773132615623727,0.0859036239581919,0.687228991665535,0.0859036239581919,0,0.674392754668134,2.29406769197171,2.46571741720952,0.944989292480411,3.18289952614806,4.3477470841109,3.26901570979005,6.07977660592365,6.64738772907921,3.66986449731097,1.68199642279728,0.546695051348331,0,1.0308434874983,1.11674711145649,0.429518119790959,0.257710871874576,0.171807247916384,0,0.0926554470482972,0.27088942796731,5.28828956572909,8.94214582231852,7.42241857771872,16.7209367370697,11.8185639803026,5.48505175411342,1.04390615549249,0.753724576495399,0,0,0
2009,7,999,3,0,85,0,0,0,0,0,0.759620367332376,0.100588165089017,0,0.114700702181396,1.04630996825605,4.56694874829546,7.97793730693899,4.79348600609398,4.48963995060443,10.6039319407789,6.88729208849233,2.73455253941411,1.78627366609859,0,0,0,0,0,0,0,0,0,0,1.1194299968287,5.5521648700331,13.9898902036908,22.4246527924493,9.43201941424945,1.39115986881021,0.229401404362791,0,0,0
2010,7,999,3,0,104,0,0,0,0,0,0,0.0452160848795148,0.0452160848795148,0.0358807390071345,1.1388850605559,2.22201986335687,2.85721178430413,5.7314194719697,6.15529493497299,6.63939903131434,6.32160046337165,2.88623442301559,0.724763359364901,0,0,0,0,0,0,0,0,0.0358807390071345,0.974881544670603,1.14657959862964,4.81178836134453,15.3628067781788,25.8225899979166,13.2550103938831,3.04687088974051,0.653408087454232,0.0870423081825895,0,0
2011,7,999,3,0,111,0.0367477783709612,0.330730005338651,0.29398222696769,0.0423298091034802,0.0734955567419225,0.646444994381369,0.183738891854806,0.68319277275233,6.15677963064798,4.23389213681326,2.85198112928403,8.79803513137651,5.32742974225221,6.41869812145434,7.39177896160063,9.245543168303,4.68219331345269,0.605230767315555,0.0525647353663226,0.0734955567419225,0.330730005338651,0.367477783709612,0,0.0734955567419225,0.146991113483845,0.146991113483845,0,0.615723708789981,3.03695350818727,5.93706826755336,9.95513985925639,13.7777489446287,5.97403900165113,1.48307433937249,0.0262823676831613,0,0,0
2012,7,999,3,0,97,0.139182810952406,0,0,0,0.0658254606188346,0.207945140464204,0.297705742711769,0.31044338616071,0.472250345218933,1.74180445404526,0.720889639492865,2.25523986023404,5.33555467849509,8.31297148037343,8.80528621648652,9.04099919752586,5.64437699675589,0.0569303372980552,0.0358861356510494,0.125352441084924,0,0,0.0329127303094173,0.19298758751616,0.254324253794651,0.484713365960572,1.04634389805155,0.341109646339556,1.86696789836451,4.85801128036248,13.3933722641571,17.6206978453401,13.7075227377627,2.12590268818888,0.440713389823647,0.0438507269725186,0.0219253634862593,0
