"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30"
2003,7,999,3,0,1,-1,-1,77,0,0,0,2,2,5,3,8,9,7,20,16,15,15,9,8,4,4,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,4,8,2,13,15,20,9,9,12,4,2,4,2,1,4,3,2,1,0,2,0,0,2
2004,7,999,3,0,1,-1,-1,51,0,0,0,1,0,0,3,1,5,3,4,4,5,15,5,6,4,1,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,2,10,6,6,4,6,9,8,8,2,5,2,0,1,0,0,1,0,2,0,0,0,0
2005,7,999,3,0,1,-1,-1,99,0,0,0,0,1,6,7,1,7,19,10,11,17,18,21,8,7,8,7,3,0,3,2,2,0,0,0,1,1,0,0,0,0,0,1,2,6,5,4,14,11,7,10,23,19,6,13,5,8,6,4,2,0,1,1,3,0,1,0,3
2006,7,999,3,0,1,-1,-1,72,0,0,0,0,0,1,2,1,4,3,8,13,8,6,15,7,3,4,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,3,6,7,6,3,10,7,4,2,3,0,4,1,0,0,0,0,0,1,1,0
2007,7,999,3,0,1,-1,-1,104,0,0,0,0,0,0,7,15,12,6,15,9,4,4,7,5,11,1,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,8,6,14,7,23,8,14,12,17,8,4,4,7,1,2,4,1,0,0,0,1,1,1
2008,7,999,3,0,1,-1,-1,75,1,7,3,1,2,0,5,9,18,22,6,15,14,13,10,12,7,3,2,2,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,2,4,11,11,19,4,7,12,7,11,14,13,8,5,4,5,0,3,0,1,0,0,0,0,0
2009,7,999,3,0,1,-1,-1,85,0,0,0,0,0,1,3,4,12,17,14,12,7,14,12,6,6,4,1,5,3,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,8,24,16,6,1,11,6,10,9,12,9,5,2,3,2,0,0,0,1,0,0,1
2010,7,999,3,0,1,-1,-1,94,0,0,0,0,1,0,2,5,10,37,16,22,20,9,12,14,7,17,12,8,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,5,4,20,21,36,23,17,7,19,12,10,16,19,18,11,8,2,0,3,2,1,0,2,3
2011,7,999,3,0,1,-1,-1,111,0,0,6,0,5,0,6,7,11,16,31,51,22,16,21,22,15,11,13,9,10,4,6,3,0,1,0,1,0,1,0,0,9,0,6,0,3,4,8,13,9,28,17,13,10,10,2,8,10,5,7,7,2,4,1,0,1,1,0,1
2012,7,999,3,0,1,-1,-1,97,0,5,0,3,2,15,4,9,6,5,18,21,18,10,9,6,10,4,4,2,4,2,4,1,3,0,0,2,0,0,0,4,0,1,9,9,5,8,7,17,16,15,13,4,8,8,4,4,1,2,11,5,4,3,3,2,0,0,0,3
2013,7,999,3,0,1,-1,-1,48,0,0,1,1,12,2,2,1,4,4,1,8,14,9,5,8,5,3,2,3,2,0,2,0,0,0,1,0,0,0,0,0,2,2,9,2,1,0,3,5,5,3,5,3,3,1,3,3,1,2,2,0,2,0,1,0,0,0,1,0
2014,7,999,3,0,1,-1,-1,119,0,0,0,2,1,9,3,12,6,18,15,25,29,28,34,14,19,11,8,6,8,9,9,4,1,1,1,1,1,2,0,0,0,0,1,12,3,8,16,19,15,16,31,31,30,18,16,6,7,10,5,8,12,7,7,6,2,2,3,5
2015,7,999,3,0,1,-1,-1,138,0,0,0,0,3,1,10,4,28,13,27,24,23,19,22,25,8,5,11,4,11,5,4,5,0,1,0,1,0,0,0,0,0,0,1,3,10,9,25,15,21,21,12,28,24,20,13,9,3,3,9,10,7,6,12,6,6,2,4,6
2016,7,999,3,0,1,-1,-1,150,0,0,0,1,2,25,21,45,16,41,11,19,12,9,14,13,27,5,2,6,7,1,3,1,1,0,1,0,3,1,0,0,0,0,0,12,10,37,17,28,14,14,16,14,22,16,23,9,8,10,2,5,4,3,2,1,5,3,0,6
2017,7,999,3,0,1,-1,-1,165,0,7,0,0,0,3,17,6,66,14,51,12,27,14,10,18,23,11,9,5,3,3,2,3,0,2,2,0,1,1,0,15,0,2,1,4,12,16,65,23,42,21,20,24,7,18,32,14,17,18,6,8,19,11,4,7,5,5,0,6
2018,7,999,3,0,1,-1,-1,143,0,0,0,4,4,9,9,12,15,47,18,32,11,11,4,6,11,12,9,9,1,3,2,2,3,0,0,0,0,0,0,0,0,4,9,10,10,18,12,58,17,29,15,13,9,8,14,11,21,12,11,9,10,10,5,6,8,9,8,8
2019,7,999,3,0,1,-1,-1,65,0,0,1,0,3,0,5,4,19,8,34,12,13,7,8,3,2,0,2,2,5,1,0,0,0,1,0,0,1,3,0,0,1,1,1,1,1,1,14,11,24,16,8,4,3,3,1,2,9,4,3,4,3,3,3,3,1,2,6,7
2021,7,999,3,0,1,-1,-1,77,0,0,1,0,1,1,1,12,9,7,14,8,20,17,21,7,2,7,2,6,6,4,1,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,8,12,13,11,11,11,18,6,8,5,5,2,11,6,3,3,1,5,2,3,2,6
2022,7,999,3,0,1,-1,-1,85,0,0,0,0,1,4,7,6,4,12,7,21,10,11,5,5,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,5,2,7,9,6,5,10,9,18,11,11,3,7,3,5,3,8,6,9,5,2,1,2,0,9
2023,7,999,3,0,1,-1,-1,143,0,0,0,0,1,2,5,4,18,19,16,10,13,11,18,14,9,6,9,0,3,1,1,4,2,0,0,1,0,1,0,0,1,0,0,4,11,8,21,23,12,9,20,14,20,17,9,7,9,1,5,7,7,6,3,1,2,1,0,12
2024,7,999,3,0,1,-1,-1,109,0,0,0,0,4,0,7,12,9,33,18,20,18,16,8,12,10,7,4,4,2,0,2,4,5,0,0,0,0,0,0,0,0,1,2,2,2,4,10,22,16,16,21,18,15,13,12,13,10,9,2,2,6,7,5,3,1,0,1,17
