"year","tripsWithTarget","tripsWOTarget","totalTrips","percentpos"
"2014",19,29,48,0.4
"2015",5,99,104,0.05
"2016",29,63,92,0.32
"2017",24,72,96,0.25
"2018",17,49,66,0.26
"2019",38,50,88,0.43
"2021",20,12,32,0.62
"2022",9,23,32,0.28
"2023",35,13,48,0.73
"2024",30,34,64,0.47
