"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","NatM_uniform_Fem_GP_1",0.1,1040.89,4.53067e-05,17.6966,6.33485,0.35797,1
"4","NatM_uniform_Fem_GP_1",0.11,1034.62,6.37021e-06,16.7766,7.32055,0.436354,1
"3","NatM_uniform_Fem_GP_1",0.12,1030.51,0.000234898,16.0066,8.17825,0.510928,1
"2","NatM_uniform_Fem_GP_1",0.13,1028.02,2.89092e-05,15.3854,8.92911,0.580361,1
"1","NatM_uniform_Fem_GP_1",0.14,1026.74,7.63857e-06,14.9093,9.60134,0.643985,1
"6","NatM_uniform_Fem_GP_1",0.15,1026.39,5.03879e-05,14.5748,10.224,0.701484,1
"7","NatM_uniform_Fem_GP_1",0.16,1026.77,2.86507e-05,14.3802,10.8244,0.752732,1
"8","NatM_uniform_Fem_GP_1",0.17,1027.71,2.45514e-05,14.3254,11.4272,0.797689,1
"9","NatM_uniform_Fem_GP_1",0.18,1029.09,1.20973e-05,14.4112,12.0522,0.83631,1
"10","NatM_uniform_Fem_GP_1",0.19,1030.82,0.000218464,14.6437,12.719,0.868567,1
"11","NatM_uniform_Fem_GP_1",0.2,1032.84,3.51596e-05,15.0328,13.4458,0.894431,1
