"year","month","fleet","obs","logse"
"2010",7,NA,0.00477946734604334,0.400112456487945
"2011",7,NA,0.00138300335684184,0.490615008550631
"2012",7,NA,0.00455523897382694,0.43062979686649
"2013",7,NA,0.00656940979883675,0.383693847987626
"2014",7,NA,0.0133372595370389,0.340814067581006
"2015",7,NA,0.00546329097203942,0.384080893659075
"2016",7,NA,0.00496382916492077,0.432343336491684
"2017",7,NA,0.00455343954271446,0.593043736966766
"2018",7,NA,0.00217773360740271,0.467815105985078
"2019",7,NA,0.00715096624873018,0.391140605847105
"2021",7,NA,0.00558471396460253,0.407141475546278
"2022",7,NA,0.0035350618477264,0.447165892192585
"2023",7,NA,0.00590423787600697,0.384004636119832
"2024",7,NA,0.00724831904532044,0.371117376867116
