"year","month","fleet","sex","partition","input_n","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56"
2010,"Enter Month","Enter Fleet",0,0,108,0,3,3,7,9,15,26,26,10,5,0,1,3,0,0,0,0,0,0
2011,"Enter Month","Enter Fleet",0,0,25,1,0,1,1,2,5,7,3,2,2,0,1,0,0,0,0,0,0,0
2012,"Enter Month","Enter Fleet",0,0,117,4,0,4,35,31,12,8,6,5,4,4,3,1,0,0,0,0,0,0
2013,"Enter Month","Enter Fleet",0,0,197,81,42,1,8,13,15,11,4,6,4,5,4,1,0,2,0,0,0,0
2014,"Enter Month","Enter Fleet",0,0,137,4,8,21,29,20,10,15,12,7,4,5,0,1,1,0,0,0,0,0
2015,"Enter Month","Enter Fleet",0,0,78,1,1,3,6,17,18,13,9,5,3,2,0,0,0,0,0,0,0,0
2016,"Enter Month","Enter Fleet",0,0,19,1,0,0,1,3,2,1,3,1,3,1,1,2,0,0,0,0,0,0
2017,"Enter Month","Enter Fleet",0,0,6,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,"Enter Month","Enter Fleet",0,0,27,0,1,1,3,9,8,2,1,1,0,0,0,1,0,0,0,0,0,0
2019,"Enter Month","Enter Fleet",0,0,216,5,5,9,29,28,30,19,12,13,16,13,16,9,5,5,1,1,0,0
2021,"Enter Month","Enter Fleet",0,0,101,3,2,14,16,24,16,6,7,5,3,2,2,1,0,0,0,0,0,0
2022,"Enter Month","Enter Fleet",0,0,97,4,3,11,10,15,14,23,10,3,1,0,0,2,1,0,0,0,0,0
2023,"Enter Month","Enter Fleet",0,0,192,6,7,6,29,30,19,13,19,16,13,16,11,4,1,2,0,0,0,0
2024,"Enter Month","Enter Fleet",0,0,248,7,5,10,13,21,42,46,23,17,13,17,14,9,5,2,2,1,1,0
