Year,Age 4 Summary Biomass (mt) High,Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High.1,Age 4 Summary Biomass (mt) Low.1,Age 4 Summary Biomass (mt) High.2,Age 4 Summary Biomass (mt) Low.2,Age 4 Summary Biomass (mt) High.3,Age 4 Summary Biomass (mt) Low.3,Spawning Biomass (mt),Age 4 Summary Biomass (mt) Mid,Spawning Biomass (mt).1,Age 4 Summary Biomass (mt) Mid.1,Age.4.median.2013,Age.4.2017
-999,1991,1991,1993,1993,1996,1996,1997,1997,2000,2000,2005,2005,2013,2017
1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155780
1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155780
1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155780
1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155779
1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155779
1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166773.301444312,155779
1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166771.261878341,155781
1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166769.2966181,155785
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.476715682,155789
1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.142749722,155797
1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.30209727,155804
1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.485356833,155812
1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.736589115,155819
1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.926533633,155826
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166768.104784445,155833
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166768.093019912,155838
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166768.110419158,155843
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166768.15390805,155848
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166768.067130883,155852
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.928124089,155856
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166767.766196827,155859
