year,obs,logse
2014,0.09660813,0.650574865
2015,0.00310105,0.785885979
2016,0.131801267,0.638397933
2017,0.070295252,0.641177849
2018,0.049227828,0.6434463
2019,0.097704774,0.594516166
2021,0.378413071,0.666231271
2022,0.073055412,0.730164263
2023,0.385972021,0.645584136
2024,0.090006392,0.507694238
