"Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1,1,1,1,1,1,1,1887,1,1887,"B","VIRG",18315,15658.4,13387.1,11445.3,9785.14,8365.8,7152.33,6114.88,5227.91,4469.6,3821.28,3267,2793.12,2387.97,2041.6,1745.46,1492.28,1275.82,1090.77,932.549,797.282,681.635,582.764,498.233,425.964,364.178,311.353,266.191,227.58,194.569,166.347,142.218,121.589,103.953,88.8743,75.983,64.9616,55.5389,47.4829,40.5955,239.275
1,1,1,1,1,1,1,1887,1,1887.5,"M","VIRG",16934.6,14478.3,12378.2,10582.7,9047.68,7735.31,6613.29,5654.03,4833.91,4132.75,3533.29,3020.78,2582.61,2208,1887.73,1613.91,1379.81,1179.67,1008.56,862.267,737.194,630.264,538.843,460.684,393.861,336.731,287.888,246.13,210.428,179.906,153.81,131.5,112.426,96.1183,82.1762,70.2565,60.0657,51.3532,43.9043,37.536,221.242
1,1,1,1,1,1,1,1888,1,1888,"B","INIT",18315,15658.4,13387.1,11445.3,9785.14,8365.8,7152.33,6114.88,5227.91,4469.6,3821.28,3267,2793.12,2387.97,2041.6,1745.46,1492.28,1275.82,1090.77,932.549,797.282,681.635,582.764,498.233,425.964,364.178,311.353,266.191,227.58,194.569,166.347,142.218,121.589,103.953,88.8743,75.983,64.9616,55.5389,47.4829,40.5955,239.275
1,1,1,1,1,1,1,1888,1,1888.5,"M","INIT",16934.6,14478.3,12378.2,10582.7,9047.68,7735.31,6613.29,5654.03,4833.91,4132.75,3533.29,3020.78,2582.61,2208,1887.73,1613.91,1379.81,1179.67,1008.56,862.267,737.194,630.264,538.843,460.684,393.861,336.731,287.888,246.13,210.428,179.906,153.81,131.5,112.426,96.1183,82.1762,70.2565,60.0657,51.3532,43.9043,37.536,221.242
1,1,1,1,1,1,1,1889,1,1889,"B","TIME",18327.2,15658.4,13387.1,11445.3,9785.14,8365.8,7152.33,6114.88,5227.91,4469.6,3821.28,3267,2793.12,2387.97,2041.6,1745.46,1492.28,1275.82,1090.77,932.549,797.282,681.635,582.764,498.233,425.964,364.178,311.353,266.191,227.58,194.569,166.347,142.218,121.589,103.953,88.8743,75.983,64.9616,55.5389,47.4829,40.5955,239.275
1,1,1,1,1,1,1,1889,1,1889.5,"M","TIME",16946,14478.3,12378.2,10582.7,9047.68,7735.31,6613.29,5654.03,4833.91,4132.74,3533.29,3020.78,2582.61,2208,1887.73,1613.91,1379.81,1179.67,1008.56,862.266,737.194,630.263,538.843,460.683,393.861,336.731,287.888,246.13,210.428,179.905,153.81,131.5,112.426,96.1182,82.1762,70.2565,60.0657,51.3531,43.9043,37.536,221.242
1,1,1,1,1,1,1,1890,1,1890,"B","TIME",18327.2,15668.8,13387.1,11445.3,9785.14,8365.8,7152.33,6114.88,5227.91,4469.6,3821.28,3267,2793.12,2387.97,2041.59,1745.46,1492.28,1275.82,1090.76,932.547,797.281,681.634,582.763,498.233,425.964,364.177,311.353,266.191,227.58,194.569,166.347,142.218,121.589,103.953,88.8741,75.9829,64.9615,55.5388,47.4828,40.5954,239.275
1,1,1,1,1,1,1,1890,1,1890.5,"M","TIME",16946,14487.9,12378.2,10582.7,9047.68,7735.31,6613.29,5654.03,4833.91,4132.74,3533.28,3020.78,2582.61,2208,1887.73,1613.91,1379.81,1179.67,1008.56,862.265,737.193,630.262,538.842,460.683,393.86,336.731,287.887,246.129,210.428,179.905,153.81,131.5,112.425,96.118,82.176,70.2563,60.0656,51.353,43.9042,37.5359,221.242
1,1,1,1,1,1,1,1891,1,1891,"B","TIME",18327.2,15668.8,13396,11445.3,9785.14,8365.8,7152.33,6114.88,5227.91,4469.6,3821.27,3266.99,2793.11,2387.97,2041.59,1745.46,1492.28,1275.82,1090.76,932.546,797.279,681.633,582.762,498.232,425.963,364.177,311.352,266.19,227.579,194.569,166.346,142.218,121.589,103.952,88.874,75.9827,64.9614,55.5387,47.4828,40.5953,239.274
1,1,1,1,1,1,1,1891,1,1891.5,"M","TIME",16946,14487.9,12386.4,10582.7,9047.68,7735.3,6613.29,5654.03,4833.9,4132.74,3533.28,3020.77,2582.6,2207.99,1887.72,1613.91,1379.81,1179.67,1008.55,862.263,737.191,630.261,538.841,460.682,393.859,336.73,287.887,246.129,210.427,179.905,153.809,131.499,112.425,96.1178,82.1758,70.2562,60.0655,51.3529,43.9041,37.5358,221.241
1,1,1,1,1,1,1,1892,1,1892,"B","TIME",18327.2,15668.8,13396,11452.9,9785.14,8365.8,7152.33,6114.88,5227.91,4469.59,3821.27,3266.99,2793.11,2387.96,2041.59,1745.45,1492.27,1275.82,1090.76,932.543,797.277,681.631,582.76,498.23,425.961,364.175,311.351,266.19,227.579,194.568,166.346,142.217,121.589,103.952,88.8737,75.9825,64.9612,55.5385,47.4826,40.5952,239.274
1,1,1,1,1,1,1,1892,1,1892.5,"M","TIME",16946,14487.9,12386.4,10589.8,9047.68,7735.3,6613.29,5654.02,4833.88,4132.71,3533.25,3020.74,2582.57,2207.96,1887.69,1613.88,1379.79,1179.65,1008.54,862.249,737.179,630.25,538.832,460.674,393.853,336.724,287.882,246.125,210.424,179.902,153.807,131.497,112.423,96.1162,82.1745,70.255,60.0645,51.3521,43.9034,37.5352,221.237
1,1,1,1,1,1,1,1893,1,1893,"B","TIME",18327.1,15668.8,13396,11452.9,9791.68,8365.8,7152.33,6114.87,5227.89,4469.56,3821.22,3266.93,2793.04,2387.9,2041.53,1745.4,1492.23,1275.78,1090.73,932.515,797.253,681.611,582.743,498.215,425.949,364.165,311.342,266.182,227.572,194.562,166.341,142.213,121.585,103.949,88.8711,75.9803,64.9593,55.5369,47.4812,40.594,239.267
1,1,1,1,1,1,1,1893,1,1893.5,"M","TIME",16945.9,14487.9,12386.4,10589.8,9053.73,7735.3,6613.29,5654.01,4833.87,4132.68,3533.2,3020.68,2582.52,2207.91,1887.65,1613.84,1379.75,1179.61,1008.51,862.225,737.158,630.233,538.817,460.661,393.842,336.715,287.874,246.118,210.418,179.897,153.803,131.493,112.42,96.1136,82.1722,70.2531,60.0628,51.3506,43.9022,37.5341,221.231
1,1,1,1,1,1,1,1894,1,1894,"B","TIME",18327.1,15668.8,13396,11452.9,9791.68,8371.39,7152.33,6114.87,5227.88,4469.54,3821.19,3266.89,2793,2387.86,2041.49,1745.36,1492.19,1275.75,1090.7,932.491,797.232,681.593,582.728,498.202,425.938,364.155,311.334,266.175,227.566,194.557,166.337,142.209,121.582,103.946,88.8688,75.9783,64.9576,55.5354,47.48,40.593,239.26
1,1,1,1,1,1,1,1894,1,1894.5,"M","TIME",16945.9,14487.9,12386.4,10589.8,9053.73,7740.48,6613.29,5654.01,4833.86,4132.67,3533.18,3020.65,2582.48,2207.87,1887.6,1613.8,1379.71,1179.58,1008.48,862.202,737.139,630.216,538.803,460.649,393.832,336.706,287.867,246.111,210.413,179.892,153.799,131.49,112.417,96.1111,82.1701,70.2512,60.0612,51.3493,43.901,37.5332,221.226
1,1,1,1,1,1,1,1895,1,1895,"B","TIME",18327.1,15668.7,13396,11452.9,9791.68,8371.39,7157.11,6114.87,5227.88,4469.54,3821.18,3266.87,2792.97,2387.82,2041.45,1745.32,1492.16,1275.72,1090.67,932.467,797.212,681.576,582.712,498.189,425.927,364.146,311.326,266.168,227.56,194.552,166.332,142.206,121.579,103.944,88.8665,75.9763,64.9559,55.534,47.4787,40.5919,239.254
1,1,1,1,1,1,1,1895,1,1895.5,"M","TIME",16945.8,14487.9,12386.4,10589.8,9053.73,7740.48,6617.71,5654.02,4833.88,4132.68,3533.19,3020.65,2582.47,2207.85,1887.59,1613.78,1379.69,1179.57,1008.47,862.188,737.127,630.206,538.794,460.642,393.825,336.701,287.862,246.107,210.409,179.889,153.796,131.488,112.415,96.1095,82.1687,70.2501,60.0602,51.3485,43.9003,37.5325,221.222
1,1,1,1,1,1,1,1896,1,1896,"B","TIME",18327.1,15668.7,13396,11452.9,9791.68,8371.39,7157.11,6118.96,5227.9,4469.56,3821.22,3266.9,2792.99,2387.83,2041.45,1745.32,1492.15,1275.71,1090.66,932.461,797.206,681.571,582.708,498.186,425.924,364.143,311.324,266.166,227.558,194.551,166.331,142.205,121.578,103.943,88.8658,75.9758,64.9554,55.5336,47.4784,40.5916,239.253
1,1,1,1,1,1,1,1896,1,1896.5,"M","TIME",16945.9,14487.8,12386.4,10589.8,9053.72,7740.47,6617.71,5657.81,4833.89,4132.71,3533.23,3020.69,2582.5,2207.87,1887.59,1613.78,1379.69,1179.56,1008.46,862.185,737.124,630.204,538.792,460.64,393.823,336.699,287.861,246.106,210.408,179.888,153.795,131.487,112.415,96.1091,82.1684,70.2498,60.06,51.3482,43.9001,37.5324,221.221
1,1,1,1,1,1,1,1897,1,1897,"B","TIME",18327.1,15668.7,13396,11452.9,9791.65,8371.39,7157.11,6118.97,5231.4,4469.58,3821.25,3266.94,2793.03,2387.86,2041.47,1745.33,1492.16,1275.71,1090.66,932.461,797.206,681.57,582.708,498.185,425.923,364.143,311.323,266.166,227.558,194.551,166.331,142.204,121.578,103.943,88.8657,75.9757,64.9553,55.5335,47.4783,40.5916,239.252
1,1,1,1,1,1,1,1897,1,1897.5,"M","TIME",16945.9,14487.8,12386.4,10589.7,9053.7,7740.47,6617.71,5657.81,4837.13,4132.73,3533.26,3020.73,2582.53,2207.9,1887.61,1613.79,1379.7,1179.57,1008.47,862.185,737.123,630.203,538.791,460.639,393.823,336.699,287.86,246.106,210.408,179.888,153.795,131.487,112.415,96.1089,82.1682,70.2497,60.0599,51.3482,43.9001,37.5323,221.221
