"","M_f 0.15","M_f 0.14","M_f 0.13","M_f 0.12","M_f 0.11","M_f 0.1","M_f 0.16","M_f 0.17","M_f 0.18","M_f 0.19","M_f 0.2"
"totlikelihood",1032.78,1026.31,1021.93,1019.1,1017.45,1016.71,1016.71,1017.29,1018.37,1019.88,1021.8
"surveylike",-3.42509,-3.55792,-3.52849,-3.37495,-3.12571,-2.80162,-2.42498,-2.01239,-1.57563,-1.1256,-0.677507
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",209.097,207.738,206.648,205.75,205.009,204.432,203.948,203.551,203.267,203.107,203.025
"agelike",830.898,828.457,826.645,825.289,824.262,823.458,822.882,822.501,822.263,822.164,822.271
"recrlike",-3.87634,-6.3504,-7.83859,-8.58292,-8.76155,-8.50515,-7.91303,-7.06338,-6.01396,-4.81093,-3.50266
"forerecrlike",4.51428e-08,4.68599e-08,4.88309e-08,5.04649e-08,5.23175e-08,5.45821e-08,5.72569e-08,6.01629e-08,6.26457e-08,6.57206e-08,6.82021e-08
"priorlike",0.0868865,0.0198518,1.8101e-07,0.0165883,0.0617201,0.129468,0.215304,0.31571,0.427921,0.549738,0.67939
"parmlike",0,0,0,0,0,0,0,0,0,0,0
"R0",9.59219,9.76368,9.93225,10.1001,10.2688,10.4398,10.6138,10.7914,10.9735,11.1608,11.3532
"SB0",19.0181,18.0655,17.2759,16.6465,16.1718,15.8474,15.6659,15.6233,15.7227,15.9709,16.3684
"SBfinal",7.43927,8.44406,9.3146,10.0787,10.7663,11.4066,12.021,12.6296,13.2532,13.9107,14.6119
"deplfinal",0.391168,0.467414,0.539168,0.605455,0.665745,0.719778,0.767336,0.808383,0.842937,0.871,0.892691
"yieldspr",3129.18,3331.4,3544.57,3777.06,4037.14,4333.65,4674.95,5070.76,5533.82,6079.58,6723.11
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2
"lminfem",14.3081,14.3605,14.4078,14.4516,14.4936,14.535,14.5761,14.6176,14.6604,14.7046,14.7503
"lmaxfem",53.5722,53.5942,53.6094,53.6194,53.6252,53.6278,53.6276,53.6252,53.6215,53.6171,53.6119
"kfem",0.143657,0.143089,0.142617,0.142216,0.141864,0.14154,0.141241,0.140956,0.140667,0.140362,0.140045
"cv1fem",0.113738,0.112446,0.111288,0.110228,0.109256,0.108377,0.107549,0.106769,0.106058,0.105421,0.104826
"cv2fem",0.0379704,0.0381473,0.0383266,0.0385085,0.0386883,0.0388569,0.0390275,0.0391986,0.03936,0.0395078,0.0396559
"mmale",-0.112128,-0.118749,-0.12414,-0.128818,-0.133054,-0.136929,-0.140704,-0.144435,-0.148033,-0.151463,-0.154906
"lminmale",0,0,0,0,0,0,0,0,0,0,0
"lmaxmale",-0.142656,-0.143942,-0.145079,-0.146106,-0.147033,-0.147853,-0.148612,-0.149314,-0.149948,-0.150517,-0.151056
"kmale",0.366665,0.368552,0.369839,0.370653,0.371027,0.37093,0.370526,0.369832,0.368816,0.36751,0.366023
"cv1male",0,0,0,0,0,0,0,0,0,0,0
"cv2male",0.290804,0.292723,0.29407,0.29496,0.295557,0.296146,0.296487,0.29662,0.296794,0.297151,0.297364
