"year","month","fleet","obs","logse"
"2001",7,NA,0.0151761849044111,0.141621566685418
"2002",7,NA,0.0207151592189963,0.137113139524986
"2003",7,NA,0.0285284082688188,0.138044519990991
"2004",7,NA,0.036363554743981,0.129031900128461
"2005",7,NA,0.025814627035893,0.124211547923317
"2006",7,NA,0.0168270044843231,0.124681608805095
"2007",7,NA,0.0165432285908072,0.124746767646116
"2008",7,NA,0.0171046332460796,0.117633225958187
"2009",7,NA,0.0312917005728598,0.121619050885605
"2010",7,NA,0.0460285649748893,0.112364791164866
"2011",7,NA,0.0460509765988386,0.114552833999042
"2012",7,NA,0.0477063635473833,0.116744743057241
"2013",7,NA,0.0323974100456728,0.116035650004238
"2014",7,NA,0.0481299435425828,0.116650324573353
"2015",7,NA,0.0332351475980308,0.115569002489312
"2016",7,NA,0.0142635767169776,0.113631324822882
"2017",7,NA,0.0212611559822579,0.10945394965597
"2018",7,NA,0.0207158990431806,0.130723705290015
"2019",7,NA,0.0321076336608954,0.128183444109807
"2020",7,NA,0.0334776032188876,0.130025741424256
"2021",7,NA,0.0234254329349117,0.130942058179303
"2022",7,NA,0.0248189740854334,0.128172128624369
"2023",7,NA,0.0354489806828956,0.132275458428027
"2024",7,NA,0.0270462801137141,0.132577108325633
