"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"2",1059.52,2.49515e-05,14.5951,9.26723,0,"Best Fit"
"3",1059.52,7.05776e-05,14.5951,9.26723,0,"Best Fit"
"4",1059.52,2.78093e-05,14.5951,9.26723,0,"Best Fit"
"5",1059.52,3.82743e-05,14.5951,9.26723,0,"Best Fit"
"6",1059.52,0.000589181,14.5951,9.26723,0,"Best Fit"
"7",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"8",1059.52,4.06802e-05,14.5951,9.26723,0,"Best Fit"
"9",1059.52,8.66022e-05,14.5951,9.26723,0,"Best Fit"
"10",1059.52,3.93459e-06,14.5951,9.26723,0,"Best Fit"
"11",1059.52,0.000208745,14.5951,9.26723,0,"Best Fit"
"12",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"13",1059.52,2.10743e-05,14.5951,9.26723,0,"Best Fit"
"14",1059.52,6.20391e-05,14.5951,9.26723,0,"Best Fit"
"15",1059.52,3.78053e-05,14.5951,9.26723,0,"Best Fit"
"16",1059.52,2.05577e-05,14.5951,9.26723,0,"Best Fit"
"17",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"18",1059.52,2.10743e-05,14.5951,9.26723,0,"Best Fit"
"19",1059.52,0.000212965,14.5951,9.26723,0,"Best Fit"
"20",1059.52,7.57016e-06,14.5951,9.26723,0,"Best Fit"
"21",1059.52,8.74832e-06,14.5951,9.26723,0,"Best Fit"
"22",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"23",1059.52,1.69143e-05,14.5951,9.26723,0,"Best Fit"
"24",1059.52,4.49192e-05,14.5951,9.26723,0,"Best Fit"
"25",1059.52,7.9674e-05,14.5951,9.26723,0,"Best Fit"
"26",1059.52,3.55631e-05,14.5951,9.26723,0,"Best Fit"
"27",1059.52,1.20476e-05,14.5951,9.26723,0,"Best Fit"
"28",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
"29",1059.52,8.03832e-05,14.5951,9.26723,0,"Best Fit"
"30",1059.52,4.8979e-05,14.5951,9.26723,0,"Best Fit"
"31",1063.33,9.39832e-05,14.6155,9.26578,0,"0"
"32",1059.52,4.24901e-05,14.5951,9.26723,0,"Best Fit"
"33",1059.52,2.48292e-05,14.5951,9.26723,0,"Best Fit"
