"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"8","SR_LN(R0)",8.75,1177.03,1.63103e-05,15.8878,0.946513,0.0595748,0
"7","SR_LN(R0)",9,1130.19,9.17314e-05,16.3777,1.35542,0.0827596,0
"6","SR_LN(R0)",9.25,1100.43,8.5717e-06,15.8787,2.19685,0.138352,0
"5","SR_LN(R0)",9.5,1082.71,3.34198e-08,15.0755,3.45676,0.229296,0
"4","SR_LN(R0)",9.75,1071.58,0.000425227,14.5903,4.89042,0.335183,0
"3","SR_LN(R0)",10,1064.57,2.00665e-05,14.3921,6.34874,0.441128,0
"2","SR_LN(R0)",10.25,1060.74,7.39696e-07,14.3999,7.75435,0.5385,0
"1","SR_LN(R0)",10.5,1059.52,2.42988e-05,14.5855,9.08551,0.622913,0
"9","SR_LN(R0)",10.75,1060.44,4.4588e-06,14.9796,10.3837,0.693189,1
"10","SR_LN(R0)",11,1063.19,1.2904e-06,15.6531,11.733,0.749561,1
"11","SR_LN(R0)",11.25,1067.34,3.09812e-05,16.6118,13.1541,0.791853,1
"12","SR_LN(R0)",11.5,1072.46,1.62855e-05,17.9327,14.7385,0.82188,1
"13","SR_LN(R0)",11.75,1078.17,8.95273e-06,19.7273,16.6044,0.841694,1
"14","SR_LN(R0)",12,1084.11,8.7419e-06,22.1502,18.9016,0.853339,1
"15","SR_LN(R0)",12.25,1089.96,3.46367e-06,25.4145,21.8267,0.858828,1
"16","SR_LN(R0)",12.5,1095.49,4.44334e-06,29.8003,25.6311,0.860095,1
