"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"13","NatM_uniform_Fem_GP_1",0.095,1088.82,8.36889e-06,18.3294,4.40357,0.240246,0
"12","NatM_uniform_Fem_GP_1",0.1,1083.45,0.00597404,17.7445,4.95158,0.279048,0
"11","NatM_uniform_Fem_GP_1",0.105,1078.82,6.71288e-05,17.2442,5.48843,0.318277,0
"10","NatM_uniform_Fem_GP_1",0.11,1074.84,5.70967e-06,16.8087,6.00019,0.356969,0
"9","NatM_uniform_Fem_GP_1",0.115,1071.42,9.26969e-05,16.4247,6.47785,0.394397,0
"8","NatM_uniform_Fem_GP_1",0.12,1068.52,0.000361724,16.0835,6.91706,0.430071,0
"7","NatM_uniform_Fem_GP_1",0.125,1066.08,6.58961e-06,15.7799,7.31706,0.463695,0
"6","NatM_uniform_Fem_GP_1",0.13,1064.07,1.66174e-05,15.5108,7.67984,0.495128,0
"5","NatM_uniform_Fem_GP_1",0.135,1062.46,1.35086e-05,15.2743,8.00838,0.524303,0
"4","NatM_uniform_Fem_GP_1",0.14,1061.22,2.13588e-06,15.0687,8.30597,0.551207,0
"3","NatM_uniform_Fem_GP_1",0.145,1060.34,1.14706e-05,14.8929,8.57671,0.575893,0
"2","NatM_uniform_Fem_GP_1",0.15,1059.78,1.69918e-05,14.7464,8.82494,0.598449,0
"1","NatM_uniform_Fem_GP_1",0.155,1059.53,1.98183e-05,14.6288,9.05491,0.618979,0
"14","NatM_uniform_Fem_GP_1",0.16,1059.58,4.32124e-06,14.54,9.27067,0.637596,0
"15","NatM_uniform_Fem_GP_1",0.165,1059.9,2.89666e-06,14.4804,9.47607,0.654406,0
"16","NatM_uniform_Fem_GP_1",0.17,1060.49,5.12576e-06,14.4564,9.67522,0.669268,1
"17","NatM_uniform_Fem_GP_1",0.175,1061.36,1.01937e-06,14.4636,9.86988,0.682394,1
"18","NatM_uniform_Fem_GP_1",0.18,1062.5,2.69476e-06,14.5024,10.0631,0.693892,1
"19","NatM_uniform_Fem_GP_1",0.185,1063.88,3.55739e-06,14.5739,10.2582,0.703874,1
"20","NatM_uniform_Fem_GP_1",0.19,1065.51,8.92653e-06,14.6795,10.4585,0.712456,1
"21","NatM_uniform_Fem_GP_1",0.195,1067.35,7.45051e-06,14.8212,10.6674,0.719741,1
"22","NatM_uniform_Fem_GP_1",0.2,1069.41,6.10906e-06,15.0011,10.8881,0.725821,1
"23","NatM_uniform_Fem_GP_1",0.205,1071.68,4.53206e-06,15.2223,11.1242,0.730783,1
"24","NatM_uniform_Fem_GP_1",0.21,1074.13,6.48784e-06,15.4882,11.3792,0.734704,1
"25","NatM_uniform_Fem_GP_1",0.215,1076.77,1.67674e-06,15.8036,11.6578,0.737663,1
