"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,1092.9,4.98008e-05,22.827,4.78938,0.209812,1
"9","SR_BH_steep",0.3,1082.64,4.36912e-06,20.5936,5.3184,0.258255,1
"8","SR_BH_steep",0.35,1075.75,8.32469e-06,18.978,5.94056,0.313024,1
"7","SR_BH_steep",0.4,1070.91,4.39449e-07,17.827,6.57191,0.368648,1
"6","SR_BH_steep",0.45,1067.43,7.91055e-06,16.9771,7.16072,0.421788,1
"5","SR_BH_steep",0.5,1064.87,1.18803e-05,16.321,7.68103,0.470623,0
"4","SR_BH_steep",0.55,1062.97,8.99507e-06,15.8021,8.11569,0.513584,0
"3","SR_BH_steep",0.6,1061.56,6.60159e-06,15.3722,8.48341,0.551868,0
"2","SR_BH_steep",0.65,1060.51,5.61187e-06,15.0086,8.79171,0.58578,0
"1","SR_BH_steep",0.7,1059.74,1.64417e-06,14.6967,9.04874,0.615699,0
"11","SR_BH_steep",0.75,1059.18,6.2794e-05,14.4268,9.26228,0.642017,0
"12","SR_BH_steep",0.8,1058.77,7.85289e-06,14.1919,9.43926,0.665117,0
"13","SR_BH_steep",0.85,1058.48,2.19533e-05,13.9864,9.58575,0.685362,0
"14","SR_BH_steep",0.9,1058.28,9.80694e-06,13.8061,9.70698,0.703095,0
"15","SR_BH_steep",0.95,1058.14,2.99729e-05,13.6473,9.80735,0.718631,0
"16","SR_BH_steep",1,1058.06,6.83548e-06,13.5069,9.89054,0.732256,0
