"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2015,"7",1,0,2,130.606,0,0,0,0,0,1,0,1,7,15,25,69,133,223,130,93,46,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"7",1,0,2,40.326,0,0,0,0,0,1,1,7,10,27,26,36,34,32,22,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"7",1,0,2,14.832,0,0,0,0,1,0,0,0,2,6,3,15,12,9,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,"7",1,3,2,84.72,0,0,0,0,0,0,0,0,5,14,41,50,98,81,64,55,39,15,1,0,0,0,0,2,0,4,4,7,40,86,169,237,233,126,21,3,1,0
1973,"7",1,3,2,35.3,0,0,0,0,0,0,0,0,0,0,3,4,16,31,59,52,32,7,5,0,0,0,0,0,0,0,0,0,1,14,26,118,165,96,12,1,0,0
1974,"7",1,3,2,28.24,0,0,0,0,0,1,5,6,12,4,15,15,16,27,32,21,22,4,1,0,0,0,0,0,2,0,10,13,18,25,47,79,86,44,10,1,0,0
1975,"7",1,3,2,21.18,0,0,0,0,0,3,10,18,20,5,20,13,17,13,15,19,17,7,5,0,0,0,0,0,2,9,29,19,15,19,23,48,63,41,7,1,0,0
1976,"7",1,3,2,134.14,0,0,0,2,1,1,14,18,33,59,87,130,151,135,162,178,135,69,24,0,0,0,1,0,5,13,12,37,87,221,253,392,586,365,80,12,8,3
1977,"7",1,3,2,98.84,0,0,0,0,0,0,0,0,2,2,15,41,54,80,119,149,120,38,2,0,0,0,0,0,0,2,1,4,15,64,165,299,408,203,31,6,5,2
1978,"7",1,3,2,254.16,0,0,0,2,1,8,21,27,51,57,79,128,157,146,122,131,79,40,19,0,0,0,0,0,10,17,33,57,84,140,184,293,391,160,44,7,3,1
1979,"7",1,3,2,268.28,0,0,1,0,0,1,4,7,29,52,73,115,156,225,216,154,88,51,13,0,0,1,1,0,0,3,14,40,106,168,290,398,357,144,27,5,0,1
1980,"7",1,3,2,473.02,0,0,0,0,2,4,4,23,59,60,112,165,232,338,356,298,162,66,15,0,0,0,0,0,4,11,39,77,132,247,389,638,657,364,88,16,1,1
1981,"7",1,3,2,444.78,0,0,0,0,0,2,11,45,68,114,206,224,290,326,307,241,127,46,17,0,0,0,0,1,6,15,51,107,249,370,465,665,612,303,83,13,3,1
1982,"7",1,3,2,713.06,0,0,0,0,1,17,37,94,122,185,221,302,288,301,284,227,170,68,17,0,0,0,1,1,12,19,95,197,356,452,475,561,584,317,64,8,3,1
1983,"7",1,3,2,490.1,0,0,0,0,1,7,17,47,81,155,202,234,193,133,103,78,48,23,11,0,0,0,0,1,10,23,71,147,237,299,263,240,200,90,25,3,0,1
1984,"7",1,3,2,656.58,0,0,0,1,4,19,37,67,140,172,328,384,385,299,198,120,61,20,13,0,0,0,0,3,12,40,84,178,322,552,583,458,364,213,114,22,6,3
1985,"7",1,3,2,585.98,0,0,0,0,2,16,36,82,153,247,320,417,559,512,324,162,83,47,14,0,0,0,1,1,12,46,85,253,417,702,736,650,348,157,28,3,0,0
1986,"7",1,3,2,501.26,0,1,0,0,5,4,10,27,38,74,158,240,421,546,479,275,110,38,15,0,0,0,1,3,3,12,24,42,162,419,655,570,398,151,29,9,1,0
1987,"7",1,3,2,664.216,0,0,0,0,0,5,16,33,61,89,147,183,281,359,320,206,94,34,7,0,0,0,0,2,6,20,49,85,152,321,493,515,381,156,56,10,1,0
1988,"7",1,3,2,522.44,1,0,0,1,5,4,17,27,34,89,124,168,210,288,341,204,97,31,11,0,0,0,1,2,8,24,26,63,111,195,415,448,282,97,25,7,1,0
1989,"7",1,3,2,635.03,0,0,0,0,7,19,33,41,60,64,115,161,224,315,374,293,131,34,6,0,0,0,0,1,14,31,52,98,141,273,433,551,310,108,39,3,4,0
1990,"7",1,3,2,623.784,0,1,0,5,5,3,13,29,85,109,123,159,205,274,331,253,87,31,10,0,0,1,2,5,7,27,54,103,171,257,494,581,303,116,18,5,1,0
1991,"7",1,3,2,580.28,0,0,0,0,0,0,10,17,55,101,163,202,251,268,264,244,124,25,8,0,0,0,0,2,1,9,34,118,168,276,380,452,282,78,27,0,1,0
1992,"7",1,3,2,724.614,0,0,0,0,1,1,17,32,56,152,244,336,341,310,306,246,124,27,10,0,0,0,0,1,4,9,47,141,276,403,483,452,249,95,33,5,2,0
1993,"7",1,3,2,635.132,0,0,0,0,3,7,12,28,71,150,238,288,311,258,225,141,67,18,3,0,0,0,0,4,6,19,67,140,268,432,456,388,206,80,20,6,1,1
1994,"7",1,3,2,910.74,0,0,0,0,0,3,12,68,119,245,350,482,528,528,447,237,136,28,10,0,0,0,0,1,4,27,72,197,410,609,734,605,327,134,18,10,2,0
1995,"7",1,3,2,868.38,0,0,0,0,6,14,36,117,200,299,368,417,431,429,320,211,93,36,10,0,0,0,2,2,17,56,136,255,427,595,626,508,267,83,30,3,1,0
1996,"7",1,3,2,833.08,0,0,0,2,12,32,47,125,159,247,373,441,512,450,281,174,64,16,4,0,0,2,3,5,25,69,146,247,348,579,662,430,206,55,14,0,2,1
1997,"7",1,3,2,1078.426,0,1,1,2,6,13,47,97,207,228,303,399,481,485,415,294,126,48,15,0,1,1,6,5,28,99,212,310,451,604,712,566,331,121,46,11,3,1
1998,"7",1,3,2,896.38,0,0,0,0,2,4,16,73,162,302,383,418,497,439,270,159,40,15,4,0,0,0,0,2,12,46,147,285,448,553,599,376,166,53,17,5,2,0
1999,"7",1,3,2,975.618,0,1,1,2,7,15,28,88,187,350,430,507,432,375,251,124,53,21,8,0,0,0,1,1,11,39,131,314,593,697,625,398,198,55,10,5,2,1
2000,"7",1,3,2,878.266,0,1,0,0,0,6,28,60,146,186,349,508,495,367,252,134,47,16,3,0,0,0,1,3,10,33,83,194,417,764,646,406,142,50,8,0,0,0
2001,"7",1,3,2,828.552,0,0,0,1,1,3,5,13,60,113,217,360,512,531,377,176,76,21,7,0,0,1,0,0,0,8,32,134,347,553,685,480,202,71,13,3,2,0
2002,"7",1,3,2,540.296,0,1,3,4,8,3,12,19,48,81,116,148,238,283,257,155,74,25,6,0,4,4,4,4,7,8,49,86,222,323,477,325,196,73,22,5,2,0
2003,"7",1,3,2,391.232,1,0,0,0,0,5,7,17,30,41,59,84,126,203,286,182,77,29,9,0,0,0,0,2,5,9,10,22,76,186,294,317,177,74,22,9,3,2
2004,"7",1,3,2,510.524,0,0,0,0,1,9,18,41,63,57,59,89,160,230,342,272,139,56,13,0,0,0,0,2,14,18,43,71,103,189,289,404,254,114,27,15,5,0
2005,"7",1,3,2,358.39,0,0,0,0,0,0,2,4,35,38,61,80,107,178,204,196,120,42,20,0,0,0,0,0,3,4,12,36,70,157,240,254,181,83,22,5,1,0
2006,"7",1,3,2,375.464,0,0,0,0,0,5,11,25,52,64,71,81,93,176,227,185,94,28,5,0,0,0,0,2,7,14,45,79,89,144,241,250,133,61,33,10,2,1
2007,"7",1,3,2,522.2,0,0,0,0,0,5,14,25,52,67,90,112,155,189,270,306,180,61,12,0,0,0,0,1,7,15,38,65,90,159,256,316,251,116,37,3,5,3
2008,"7",1,3,2,367.112,0,0,0,0,1,10,5,18,36,49,52,59,118,170,211,209,113,27,7,0,0,0,0,3,10,7,22,42,76,99,170,303,228,61,13,2,2,1
2009,"7",1,3,2,340.608,0,0,0,0,1,3,3,4,5,17,49,75,104,162,189,175,93,30,7,0,0,0,0,1,1,0,3,13,34,113,179,267,214,59,11,3,1,0
2010,"7",1,3,2,447,1,0,0,0,2,0,5,1,6,11,34,75,144,188,303,300,178,64,13,0,0,0,1,2,0,3,4,8,28,93,240,397,278,99,19,1,1,1
2011,"7",1,3,2,531.852,0,0,0,0,4,12,31,22,16,21,33,67,154,246,358,416,270,80,13,0,0,0,1,0,6,6,8,18,26,83,209,370,275,92,14,2,0,1
2012,"7",1,3,2,623.068,0,0,0,0,6,11,5,15,20,16,41,65,155,348,451,435,270,60,9,0,0,0,1,8,7,8,19,10,32,82,268,563,449,110,14,4,2,2
2013,"7",1,3,2,441.5,0,0,0,0,7,10,24,11,18,20,37,50,108,186,241,256,135,47,5,0,0,0,0,2,5,11,8,14,38,60,175,427,263,81,10,1,0,0
2014,"7",1,3,2,624.356,0,0,0,1,9,17,34,40,44,45,53,89,140,263,380,326,156,33,5,0,0,1,2,8,12,23,24,34,59,156,295,469,337,95,7,4,1,0
2015,"7",1,3,2,668.108,0,0,0,3,4,10,18,27,62,73,100,128,172,296,379,310,165,39,4,0,0,0,1,4,2,13,27,70,115,185,339,492,383,131,12,2,0,0
2016,"7",1,3,2,830.666,0,0,0,0,5,3,17,25,50,112,166,241,277,335,445,437,206,53,8,0,0,0,1,3,5,14,34,63,177,294,501,639,429,103,12,1,1,0
2017,"7",1,3,2,1065.812,0,0,0,0,5,11,16,49,90,159,277,435,452,454,490,332,176,39,4,0,1,0,3,2,11,30,51,132,256,438,639,664,409,129,18,0,1,1
2018,"7",1,3,2,952.75,0,0,0,2,4,7,13,22,54,91,179,340,510,481,407,283,138,43,5,0,0,0,0,2,4,4,39,88,185,366,506,585,397,105,13,1,0,1
2019,"7",1,3,2,868.29,0,0,0,0,3,8,25,45,70,131,197,284,405,417,288,198,95,21,6,0,0,0,2,2,13,25,45,124,218,326,460,448,263,74,8,2,2,0
2020,"7",1,3,2,522.872,0,0,2,1,2,6,13,29,31,51,96,150,278,296,212,131,49,10,4,0,0,1,4,0,7,13,26,49,111,191,350,315,174,34,5,0,2,0
2021,"7",1,3,2,704.352,0,0,0,1,11,40,43,51,74,97,135,210,323,401,315,162,62,18,3,0,0,0,0,3,37,39,62,95,172,279,373,366,181,46,3,1,0,1
2022,"7",1,3,2,815.11,0,0,1,3,2,14,9,44,102,134,173,253,375,418,410,210,79,19,4,0,0,0,3,2,6,24,46,125,240,330,459,368,173,55,10,1,0,1
2023,"7",1,3,2,751.99,0,0,1,1,5,5,10,18,65,119,223,284,348,375,300,196,57,13,1,0,0,0,3,0,4,9,22,86,205,407,485,369,187,45,8,3,1,0
2024,"7",1,3,2,813.544,0,0,0,0,1,5,12,18,33,85,219,364,458,518,401,225,86,23,6,0,0,0,0,0,1,4,27,59,232,435,565,393,176,37,5,0,0,0
