"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
1968,"7",1,0,2,21.18,0,0,0,0,3,22,85,102,129,161,131,105,122,116,47,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,"7",1,0,2,49.42,0,0,0,0,0,1,1,15,56,73,110,151,352,511,376,133,60,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,"7",1,0,2,21.18,0,0,0,0,1,0,5,4,17,22,40,70,182,277,222,92,39,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,"7",1,0,2,42.36,0,0,0,1,1,15,28,67,81,52,44,68,209,227,142,103,42,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,"7",1,0,2,14.12,0,0,0,0,0,0,0,0,1,3,11,38,76,165,123,38,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,"7",1,0,2,7.06,0,0,0,0,0,0,0,1,2,2,5,14,54,70,31,15,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"7",1,0,2,7.06,0,0,0,0,0,3,7,7,6,5,4,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"7",1,0,2,13.73,0,0,0,0,3,5,11,12,12,10,12,5,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7",1,0,2,2.276,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",1,0,2,34.666,0,0,0,4,11,14,19,18,25,25,14,13,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"7",1,0,2,29.422,0,0,0,2,13,8,18,22,13,12,11,9,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"7",1,0,2,30.116,0,0,0,0,0,2,6,19,29,44,33,21,21,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,"7",1,0,2,10.416,0,0,0,1,3,5,1,1,2,3,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7",1,0,2,165.856,0,0,0,2,2,4,7,23,46,57,92,133,136,126,117,95,51,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7",1,0,2,55.334,0,0,0,0,0,1,0,6,35,65,40,49,52,37,27,18,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"7",1,0,2,89.762,0,0,0,0,0,1,0,1,9,23,60,105,154,93,50,37,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7",1,0,2,91.78,0,0,0,0,0,0,0,0,3,3,32,96,167,148,100,66,27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7",1,0,2,63.54,0,0,0,0,0,0,0,1,3,9,27,72,108,89,57,45,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7",1,0,2,105.9,0,0,0,0,0,0,0,2,4,14,34,92,160,164,123,65,35,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"7",1,0,2,51.228,0,0,0,0,0,0,3,1,2,5,12,54,87,61,42,21,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"7",1,0,2,36.84,0,0,0,0,0,0,0,2,4,2,7,26,29,43,22,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
