"sex","median_intercept","SD","A","B"
"female",1.38368177807101e-05,0.0735758944331074,1.38743207119001e-05,3.02201475091826
"male",1.18093021434755e-05,0.0719605637505666,1.18399179498925e-05,3.06734067750087
"all",1.39054804396239e-05,0.0734332386139763,1.39430232669254e-05,3.02235839756817
