"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25"
1984,"7",1,3,2,0,-1,-1,112,0,0,40.9451,128.1809,9505.9616,51130.3179,125197.7132,158172.7342,123722.5753,135357.2819,58565.1538,33285.5299,14768.7515,23605.6989,24381.1009,18568.4043,7677.2716,3972.6173,16333.9168,5252.4738,4665.0494,30616.704,5668.7472,7116.0758,5738.2354,0,0,0,51.1814,10049.6379,30983.0096,87670.2368,130314.2484,140825.937,119999.594,51860.6436,33190.8378,26181.6809,15215.4228,16900.544,16935.3159,15390.0227,13375.7604,4255.8218,3599.7177,19176.8376,11940.8107,12836.5633,13744.3343,3343.5358
1985,"7",1,3,2,0,-1,-1,121,0,0,0,261,913.0461,9361.3715,43586.0314,67177.0355,137911.2978,149392.3159,108213.1209,63423.1835,24566.9004,9394.1606,18692.2178,13897.3302,24223.7344,8531.3323,4761.6339,4599.2858,1775.3753,5510.9749,7829.6978,7446.5301,4347.0444,0,0,0,19.512,1700.0287,8343.4248,26133.1136,55155.6207,120850.9454,127262.0053,91802.7238,48593.989,30224.4518,18394.8818,8794.1974,13151.7129,15111.0723,12154.824,10986.5709,7441.7677,10790.208,21193.7504,15295.6009,15405.5542,8142.283
1986,"7",1,3,2,0,-1,-1,100,0,0,0,0,5087.1744,4298.6535,19826.6547,20093.5492,53326.0285,72524.1213,62899.4819,94748.001,42451.3145,17269.7796,10906.9147,23751.4601,9978.6754,8491.5876,4962.5109,12110.0453,13204.7131,4834.6136,7695.9606,8150.7509,6474.9309,0,0,0,311.5511,3486.855,62698.5667,13550.9977,35491.3291,53731.3563,60304.3879,41382.8894,57446.0953,42549.9683,19005.2511,9801.1325,17681.7391,13949.3935,22716.1296,5045.6059,5563.7025,9016.0405,5639.4291,5480.0411,7562.0855,14655.4881
1987,"7",1,3,2,0,-1,-1,110,0,2428.525,0,392.7535,23852.1239,92141.4422,101776.6911,115664.2208,153148.7287,196694.5432,146793.7221,151481.0077,130860.2108,58031.6178,19417.6374,21976.0709,15967.5619,4181.4142,5866.5101,7900.6926,3479.393,1581.5967,3655.6307,3447.29,3230.8412,0,0,0,1384.1512,16490.4963,84203.2995,93637.956,114904.8975,148944.1073,236303.3107,168654.0423,164989.6512,164952.2934,114999.0766,80533.5613,38857.7411,56364.3081,27939.855,34964.7839,11004.3706,13096.1458,7418.2419,17191.6854,7580.4638,31216.1199
1988,"7",1,3,2,0,-1,-1,93,0,0,0,15001.0619,455851.224,1053371.4921,3606626.3045,4639410.3389,7289716.1426,15514059.4076,12628093.2899,13860974.7885,7475370.1177,4984238.0166,2497480.0453,1663098.9338,1649300.4348,208273.117,206529.2257,208865.4407,210275.7187,412710.857,1079.2115,14.9834,1625.3662,0,0,1101.9681,6718.4671,457197.7864,2291368.2662,5012262.9352,4004485.0147,7499502.3057,14070649.7105,12257484.4287,9132222.3931,9526005.4647,5594467.8506,4345630.1497,2896442.8316,1242262.4941,425537.5305,1243772.4486,623652.1638,1028787.3553,417729.6139,417429.2652,417819.5221,631505.3913
1989,"7",1,3,2,0,-1,-1,151,205110.9461,0,96192.3974,4050.3982,446917.5497,3532294.5886,8445925.9392,18802228.0536,12782038.177,10612520.1062,16242203.003,24760353.2273,15469831.0205,12102463.0964,11088509.7364,3660723.8958,2057085.0324,716434.8048,618024.2164,707203.5123,714224.8832,9818.6371,7765.8397,4994.4424,2630.6186,0,0,159.2416,3575.3544,462416.0255,6308299.4838,8204203.2816,14388999.9777,15814718.9859,15658585.1166,24391887.2904,29557080.8814,13696689.0554,13736971.2577,13712502.1364,6558786.6659,2577008.8152,317793.8207,1740324.7132,1937542.572,1241320.8278,1012975.436,212715.7236,155824.0756,415699.0233
1990,"7",1,3,2,0,-1,-1,116,0,0,14.5453,424.1479,420494.6648,2924822.0668,10816086.201,7748084.5297,19214963.6276,15673439.7041,15524097.5923,28577589.474,23085869.1179,16307894.3412,11585505.761,7582608.9674,3054650.6823,1911148.2515,744052.4334,619599.3249,417032.7408,820443.7844,1351.4404,6242.984,311151.2455,0,0,0,87.2717,433230.8918,4244733.9511,10316395.6589,12352036.6061,19930055.9452,20319522.3402,19778440.5083,23376646.8411,22048906.2138,20544788.0163,13698794.3134,11178175.3955,6544375.2929,2385344.6758,1812728.3058,1804486.1163,2622580.2333,2313711.2519,728891.9555,1691646.9299,823861.4668
1991,"7",1,3,2,0,-1,-1,108,0,0,0,59.6187,211400.5772,656608.363,5483630.6819,9226868.4848,14928027.8349,26554094.2511,18124266.3894,13544911.6751,14049726.4395,10660500.7284,6886641.0238,5332678.0115,3100599.4745,2616587.669,1312494.8665,707400.4895,206418.4223,619656.2941,6404.3512,3497.7504,1117.1813,0,0,0,1232.2921,209407.0016,1003545.1455,9283648.2294,12903918.8561,14198265.1031,20735150.4581,18311113.6999,14031966.676,17091308.3136,13379579.9437,8156142.4809,5325066.1373,5855654.3258,2684963.6148,2179828.3565,1234270.1389,1036605.4635,947201.5928,838718.2156,54570.0542,623752.0336
1992,"7",1,3,2,0,-1,-1,136,0,0,0,1059.8625,130364.7146,1690586.0042,7419065.8856,18730338.6363,17802842.3242,18625633.3191,21577697.0031,14533370.5464,11784753.9137,11073488.2139,10459617.3371,5499769.9423,3192578.9514,3242259.3233,1821247.3757,1115565.0113,364962.9689,6965.0129,942341.6437,3067.3874,769496.1646,0,0,1070.0951,1903.2516,122547.9689,1275285.8764,7913927.3056,18986375.8358,19148820.5644,14807416.0303,16433848.4499,14866562.8793,9904505.3386,9545754.106,7564214.9703,7235041.6479,4310030.4669,2807608.7729,1745624.7132,1193025.3498,1179959.2129,264088.3682,506057.5022,1139887.7199,1753.1986
1993,"7",1,3,2,0,-1,-1,105,0,0,317.9395,1487.2214,211119.895,4941646.0522,8040591.294,20057059.3726,28746831.4344,16306100.1764,19488120.2744,18039631.3259,12901529.1614,4233899.0544,4060158.6817,2611971.4289,2509451.7284,2909633.1353,875708.9954,810320.361,206448.2668,1840.8373,1843.4736,1024.1516,1173.4747,205110.9461,0,0,1634.2331,1231241.8676,6862853.0362,11763429.7874,27049220.6747,29065633.5723,25798257.6244,17082719.5044,19302687.8466,11685491.1112,6819590.182,6801121.4453,7464444.7014,4262799.4997,3193828.6648,3136896.4797,872743.1475,1732745.4811,660439.3993,1232161.7898,620598.9037,613806.6355
