"Sex","Year","n","A","B"
"B",2003,166,1.11910086544967e-05,3.08723662585021
"B",2004,110,1.19405434392242e-05,3.06626003909303
"B",2005,318,1.06695204198254e-05,3.1000009079157
"B",2006,149,2.35942767413437e-05,2.88487736798628
"B",2007,277,2.18784333399527e-05,2.89818439800013
"B",2008,299,1.47347604216087e-05,3.00061701955554
"B",2009,261,2.45432599539316e-05,2.87514881708408
"B",2010,878,2.77061797908607e-05,2.84347188110726
"B",2011,466,1.07769933749002e-05,3.08934245947793
"B",2012,334,1.12616468078948e-05,3.08116806838046
"B",2013,149,1.49389307389325e-05,3.01322738770283
"B",2014,575,2.75770220015776e-05,2.8523135369541
"B",2015,538,1.6641057422853e-05,2.98000410336365
"B",2016,1414,1.3449301814192e-05,3.02647412175218
"B",2017,732,1.398309796526e-05,3.01748997512648
"B",2018,593,1.0762099830305e-05,3.08761888276251
"B",2019,315,1.82598421309869e-05,2.95007177759887
"B",2021,309,1.59746346393827e-05,2.99603155731792
"B",2022,261,9.66710119950856e-06,3.11969330191672
"B",2023,496,3.1414482046206e-05,2.80927546071962
"B",2024,425,2.07528945185214e-05,2.91477814923236
"F",2003,86,8.58890272724106e-06,3.15368721401934
"M",2003,80,1.12308723512354e-05,3.08922051814968
"F",2004,55,8.56241505087333e-06,3.15208192179522
"M",2004,55,1.43026141080502e-05,3.01871925329605
"F",2005,161,7.58034700386872e-06,3.18692506827618
"M",2005,157,1.32106162065993e-05,3.04529472173672
"M",2006,67,3.95162001783904e-05,2.74801654458565
"F",2007,112,2.66415476688012e-05,2.84547852900698
"M",2007,153,1.67269380815595e-05,2.97062748922422
"M",2008,144,1.71836057180277e-05,2.95970746889113
"F",2008,155,1.39796532257181e-05,3.0145130804844
"F",2009,131,2.04629073422493e-05,2.92016592288626
"M",2009,130,2.17035874145309e-05,2.90974377436908
"M",2010,501,3.04079555690576e-05,2.82049414180791
"F",2010,377,1.99940222530295e-05,2.9259367307608
"M",2011,178,8.25016277553045e-06,3.16308706696594
"F",2011,288,1.20991171756805e-05,3.05776372847902
"M",2012,166,9.31347949042267e-06,3.13772608245749
"F",2012,167,1.22696215165546e-05,3.05318554726179
"F",2013,90,1.45218211125172e-05,3.01956775593664
"M",2013,59,1.4677818566932e-05,3.01979295456689
"M",2014,296,2.51873452783703e-05,2.87364979863141
"F",2014,278,1.61293277511177e-05,2.99357617461817
"F",2006,82,2.02044030457596e-05,2.92498963211783
"M",2015,284,1.57070588995084e-05,2.99658081024522
"F",2015,254,1.43539793728879e-05,3.01694926832586
"F",2016,614,1.43647192638395e-05,3.00652644905973
"M",2016,800,1.10081272985007e-05,3.08207459681597
"F",2017,310,1.6225150922512e-05,2.97692966639058
"M",2017,422,1.23866695610374e-05,3.05095543359183
"M",2018,356,9.12432151914229e-06,3.13380932665037
"F",2018,237,1.18480340789422e-05,3.05909648577965
"M",2019,161,2.1088775223528e-05,2.91255061389814
"F",2019,154,1.5308926223532e-05,2.99560502433487
"F",2021,151,1.10368463137962e-05,3.08972278356532
"M",2021,158,2.27513958724869e-05,2.90488137334678
"M",2022,162,8.56821805758095e-06,3.15268317656652
"F",2022,99,1.25644070214407e-05,3.04883801819493
"F",2023,213,4.49824015930056e-05,2.71733671900142
"M",2023,283,1.25807882240041e-05,3.05157906511573
"F",2024,195,1.87725800504908e-05,2.93913315677321
"M",2024,230,1.86686708108523e-05,2.94456462588497
